rowid,kepid,kepoi_name,kepler_name,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
1,10797460,K00752.01,Kepler-227 b,9.48803557,0.022344,3.20796,2.26,0.0853,793.0,93.59,24.81,2,5455.0,4.467,0.14,0.927,0.919
2,10797460,K00752.02,Kepler-227 c,54.4183827,0.027954000000000003,3.02368,2.83,0.2734,443.0,9.11,77.9,2,5455.0,4.467,0.14,0.927,0.919
5,10854555,K00755.01,Kepler-664 b,2.525591777,0.024064,1.98635,2.75,0.0374,1406.0,926.16,8.75,1,6031.0,4.438,0.07,1.046,1.095
6,10872983,K00756.01,Kepler-228 d,11.09432054,0.036779,0.67324,3.9,0.0992,835.0,114.81,16.36,3,6046.0,4.486000000000001,-0.08,0.972,1.053
7,10872983,K00756.02,Kepler-228 c,4.13443512,0.026133,0.37377,2.77,0.0514,1160.0,427.65,6.96,3,6046.0,4.486000000000001,-0.08,0.972,1.053
8,10872983,K00756.03,Kepler-228 b,2.56658897,0.014983000000000002,0.48908999999999997,1.59,0.0374,1360.0,807.74,5.54,3,6046.0,4.486000000000001,-0.08,0.972,1.053
10,10910878,K00757.01,Kepler-229 c,16.06864674,0.062161,3.6659,5.76,0.1158,600.0,30.75,36.85,3,5031.0,4.485,0.16,0.848,0.801
11,11446443,K00001.01,Kepler-1 b,2.470613377,0.12387100000000001,1.83538,13.04,0.0354,1339.0,761.46,8.3977,1,5820.0,4.457,-0.06,0.964,0.971
12,10666592,K00002.01,Kepler-2 b,2.2047354169999998,0.075522,0.37936,16.1,0.0376,2048.0,4148.92,4.602,1,6440.0,4.019,0.14,1.952,1.449
13,6922244,K00010.01,Kepler-8 b,3.5224984289999997,0.092086,0.65374,14.59,0.0473,1521.0,1264.67,7.541,1,6225.0,4.169,-0.04,1.451,1.132
14,10984090,K00112.02,Kepler-466 c,3.709214104,0.010424,1.7745099999999998,1.16,0.0465,1206.0,500.46,10.888,2,5833.0,4.407,-0.04,1.022,0.974
19,10526549,K00746.01,Kepler-660 b,9.27358173,0.032563,1.93557,2.47,0.0759,649.0,41.85,20.65,1,4856.0,4.583,-0.3,0.696,0.676
20,10583066,K00747.01,Kepler-661 b,6.02930329,0.038838,13.09803,2.85,0.0585,678.0,50.04,29.31,1,4537.0,4.648,0.21,0.672,0.761
22,10601284,K00749.01,Kepler-226 c,5.349553819,0.025706,1.7378200000000001,2.55,0.0563,919.0,168.99,13.8015,3,5185.0,4.44,0.16,0.91,0.831
23,10601284,K00749.02,Kepler-226 b,3.94105221,0.017105000000000002,1.8563599999999998,1.7,0.046,1018.0,253.15,11.51,3,5185.0,4.44,0.16,0.91,0.831
24,10601284,K00749.03,Kepler-226 d,8.10904807,0.013127000000000002,1.5302,1.3,0.0743,800.0,97.03,17.46,3,5185.0,4.44,0.16,0.91,0.831
26,10662202,K00750.01,Kepler-662 b,21.67699193,0.032666,0.60007,2.95,0.1408,530.0,18.64,24.6,4,4954.0,4.5,0.18,0.828,0.791
27,10682541,K00751.01,Kepler-663 b,4.99677968,0.030014,1.71827,2.78,0.0559,917.0,166.95,13.14,1,5339.0,4.552,0.18,0.847,0.931
28,11460018,K00769.01,Kepler-671 b,4.280963604,0.025377,1.24482,2.3,0.0503,1012.0,247.87,10.64,1,5644.0,4.564,-0.14,0.831,0.928
32,11507101,K00773.01,Kepler-672 b,38.3775486,0.024901,1.40588,2.82,0.2163,529.0,18.53,47.8,1,5481.0,4.369,0.16,1.036,0.915
33,10910878,K00757.02,Kepler-229 d,41.19725502,0.041693,3.9471,3.86,0.217,439.0,8.76,70.75,3,5031.0,4.485,0.16,0.848,0.801
34,10910878,K00757.03,Kepler-229 b,6.252962248999999,0.028604,3.2870699999999995,2.65,0.0617,823.0,108.3,18.94,3,5031.0,4.485,0.16,0.848,0.801
35,10987985,K00758.01,Kepler-665 b,16.01308419,0.034369,1.10942,3.1,0.1148,593.0,29.31,24.7,1,5015.0,4.499,0.1,0.826,0.785
36,11018648,K00759.01,Kepler-230 b,32.62876672,0.03852,2.79093,3.36,0.1889,506.0,15.55,53.95,2,5586.0,4.56,-0.3,0.798,0.844
37,11018648,K00759.02,Kepler-230 c,91.7732862,0.024319999999999998,1.60558,2.12,0.3764,359.0,3.92,89.4,2,5586.0,4.56,-0.3,0.798,0.844
40,11153539,K00762.01,Kepler-666 b,4.49876511,0.019816999999999998,0.67106,2.1,0.0542,1133.0,389.62,8.95,1,6075.0,4.486000000000001,-0.12,0.969,1.048
42,9579641,K00115.01,Kepler-105 b,5.412203927,0.024775,0.5108699999999999,2.94,0.0591,1093.0,337.68,9.25,3,5779.0,4.3389999999999995,-0.06,1.087,0.941
43,11304958,K00764.01,Kepler-667 b,41.43958662,0.048175,0.28189000000000003,5.5,0.2288,516.0,16.72,29.47,1,5468.0,4.367,0.22,1.046,0.93
